package_num_channel	acc_x	acc_y	acc_z	gyr_x	gyr_y	gyr_z	mag_x	mag_y	mag_z	timestamp_channel	marker_channel
51166.000000	0.036000	0.065000	1.000000	-0.824000	-0.214000	-0.305000	5.000000	-4.000000	56.000000	1722982912.388075	0.000000
51185.000000	0.036000	0.064000	1.002000	-0.885000	-0.214000	-0.275000	4.000000	-4.000000	56.000000	1722982912.491084	0.000000
51185.000000	0.037000	0.066000	1.002000	-0.885000	-0.183000	-0.336000	4.000000	-4.000000	56.000000	1722982912.491086	0.000000
51185.000000	0.035000	0.065000	0.999000	-0.854000	-0.153000	-0.305000	5.000000	-3.000000	55.000000	1722982912.491086	0.000000
51201.000000	0.035000	0.066000	1.000000	-0.885000	-0.153000	-0.305000	3.000000	-3.000000	56.000000	1722982912.589789	0.000000
51201.000000	0.037000	0.065000	1.000000	-0.854000	-0.183000	-0.336000	5.000000	-5.000000	55.000000	1722982912.589789	0.000000
51219.000000	0.036000	0.066000	1.002000	-0.854000	-0.183000	-0.305000	3.000000	-4.000000	56.000000	1722982912.701135	0.000000
51219.000000	0.035000	0.065000	1.000000	-0.824000	-0.183000	-0.275000	5.000000	-4.000000	55.000000	1722982912.701136	0.000000
51219.000000	0.036000	0.065000	1.000000	-0.854000	-0.214000	-0.275000	4.000000	-4.000000	54.000000	1722982912.701138	0.000000
51233.000000	0.035000	0.067000	1.000000	-0.885000	-0.183000	-0.305000	4.000000	-5.000000	55.000000	1722982912.798889	0.000000
51233.000000	0.034000	0.064000	1.002000	-0.793000	-0.153000	-0.275000	4.000000	-3.000000	55.000000	1722982912.798890	0.000000
51233.000000	0.035000	0.067000	1.000000	-0.854000	-0.214000	-0.244000	4.000000	-3.000000	56.000000	1722982912.798890	0.000000
51250.000000	0.036000	0.067000	0.999000	-0.885000	-0.214000	-0.305000	4.000000	-4.000000	56.000000	1722982913.006812	0.000000
51250.000000	0.035000	0.064000	1.001000	-0.916000	-0.214000	-0.336000	4.000000	-5.000000	55.000000	1722982913.006812	0.000000
51267.000000	0.033000	0.066000	1.000000	-0.854000	-0.183000	-0.336000	2.000000	-4.000000	55.000000	1722982913.009493	0.000000
51267.000000	0.035000	0.067000	1.000000	-0.854000	-0.153000	-0.305000	3.000000	-4.000000	54.000000	1722982913.009494	0.000000
51267.000000	0.036000	0.067000	0.998000	-0.854000	-0.214000	-0.275000	4.000000	-4.000000	55.000000	1722982913.009494	0.000000
51284.000000	0.034000	0.069000	0.998000	-0.854000	-0.183000	-0.305000	4.000000	-3.000000	54.000000	1722982913.109702	0.000000
51284.000000	0.034000	0.068000	1.002000	-0.854000	-0.153000	-0.275000	4.000000	-4.000000	55.000000	1722982913.109702	0.000000
51302.000000	0.037000	0.068000	1.001000	-0.854000	-0.153000	-0.275000	4.000000	-4.000000	55.000000	1722982913.310502	0.000000
51302.000000	0.036000	0.064000	1.001000	-0.854000	-0.183000	-0.305000	4.000000	-4.000000	55.000000	1722982913.310502	0.000000
51302.000000	0.036000	0.065000	1.000000	-0.885000	-0.214000	-0.275000	3.000000	-4.000000	56.000000	1722982913.310503	0.000000
